"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","lnm2total","residuos","dist_subte","dist_tren","dist_obe","count_delitos","Residuos_Ej_4"
1808,"VTA","TERRENO",-34.6088278,-58.4213069,296,2250000,"ALMAGRO",5,14.6264407741806,5.69035945432406,1.04692318249382,329.732472298804,1141.12004225569,3690.77060618403,899,1.00053950766194
1809,"VTA","TERRENO",-34.609847,-58.4213,301,800000,"ALMAGRO",5,13.5923670066501,5.70711026474888,0.00301486355192398,218.530040603785,1148.01950517096,3709.7907954329,839,-0.0443122988234523
1810,"VTA","TERRENO",-34.6087667,-58.4212982,827,2500000,"ALMAGRO",5,14.7318012898384,6.71780469502369,0.549061359306277,336.555257711768,1140.2252485374,3688.91179997993,900,0.511232803157241
1811,"VTA","TERRENO",-34.6263164,-58.4212007,312,1600000,"BOEDO",5,14.28551418721,5.74300318780948,1.09654493987231,518.288591064668,2203.32759522601,4426.04802980425,504,1.13049843275301
1812,"VTA","TERRENO",-34.6425856,-58.4210716,362,280000,"NUEVA POMPEYA",4,12.5425448821514,5.89164421182577,-0.186179125881465,809.692006323514,621.907861795082,5646.30314022082,378,-0.249463831553907
1813,"VTA","TERRENO",-34.594391,-58.420979,174,920000,"PALERMO",14,13.7321289490252,5.15905529921453,0.133768194441491,973.318473398306,1737.42567548813,3753.69849068682,840,0.168231218556579
1814,"VTA","TERRENO",-34.5842989,-58.420952,262,580000,"PALERMO",14,13.2707833825226,5.5683445037611,-0.567874744077394,321.123144567592,785.066425828533,4195.09107792788,867,-0.720548509195885
1815,"VTA","TERRENO",-34.5917593,-58.4209425,189,550000,"PALERMO",14,13.2176735572087,5.24174701505964,-0.429236247250727,863.674539409753,1467.5787270083,3839.79580114703,771,-0.415184861470499
1816,"VTA","TERRENO",-34.5920487,-58.4208336,354,500000,"PALERMO",14,13.1223633774043,5.86929691313377,-0.892986614680699,885.977267878591,1500.98438413278,3819.56746982693,773,-0.868545737683552
1817,"VTA","TERRENO",-34.5975066,-58.4207984,543,2550000,"PALERMO",14,14.7516039171346,6.29710931993394,0.485081414443245,627.87424620629,1650.96693610375,3659.03178508893,1058,0.398650864970348
1818,"VTA","TERRENO",-34.6006851,-58.4205933,110,3000000,"ALMAGRO",5,14.9141228466324,4.70048036579242,1.91577216808598,277.16892697598,1391.91580705164,3592.4480366698,1320,1.75573936662194
1819,"VTA","TERRENO",-34.6371572,-58.4205643,172,360000,"BOEDO",5,12.7938593104323,5.14749447681345,-0.0454814183040613,877.746760131115,1216.90708241705,5166.43774958169,426,0.000210494885318933
1820,"VTA","TERRENO",-34.637592,-58.420534,157,175000,"BOEDO",5,12.0725412529057,5.05624580534831,-0.713226560372692,851.235422491698,1168.59647692117,5199.44999722148,422,-0.674964464174424
1821,"VTA","TERRENO",-34.5985127,-58.4204846,164,589000,"ALMAGRO",5,13.2861814626337,5.0998664278242,0.0533476360832437,517.942174406845,1549.20415719814,3611.82067746347,1103,0.0119687510671439
1822,"VTA","TERRENO",-34.6015357,-58.4204548,1586,6500000,"ALMAGRO",5,15.6873127348659,7.36897040219479,1.12226756285128,186.635517271301,1323.78873506416,3572.67605421377,1308,0.963819969121692
1823,"VTA","TERRENO",-34.630188,-58.4204499,142,300000,"BOEDO",5,12.6115377536383,4.95582705760126,-0.11527330994632,679.529206054084,1989.26323761231,4631.29174403316,430,-0.0525220807148628
1824,"VTA","TERRENO",-34.597932,-58.4204299,298,3000000,"PALERMO",14,14.9141228466324,5.6970934865054,0.999875034647211,582.554823139385,1593.23696015878,3617.38750532485,1094,0.88484631137672
