POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA
"22",VTA,TERRENO,-34.648382400000003,-58.527252900000001,238.000000000000000,"230000",LINIERS,"9"
"23",VTA,TERRENO,-34.611725000000000,-58.527251999999997,279.000000000000000,"440000",VILLA DEVOTO SUR,"11"
"24",VTA,TERRENO,-34.648418800000002,-58.527250700000003,238.000000000000000,"238000",LINIERS,"9"
"25",VTA,TERRENO,-34.651434000000002,-58.526975999999998,147.000000000000000,"199000",LINIERS,"9"
"26",VTA,TERRENO,-34.630403899999997,-58.526816799999999,210.000000000000000,"285000",VERSALLES,"10"
"27",VTA,TERRENO,-34.619259200000002,-58.526760099999997,150.000000000000000,"215000",VILLA REAL,"10"
"28",VTA,TERRENO,-34.648720400000002,-58.526515799999999,400.000000000000000,"270000",LINIERS,"9"
"29",VTA,TERRENO,-34.643740600000001,-58.526127299999999,325.000000000000000,"450000",LINIERS,"9"
"30",VTA,TERRENO,-34.653615000000002,-58.525846000000001,203.000000000000000,"299900",LINIERS,"9"
"31",VTA,TERRENO,-34.652466400000002,-58.525726700000000,0.000000000000000,"200000",LINIERS,"9"
"32",VTA,TERRENO,-34.614162299999997,-58.525618999999999,360.000000000000000,"790000",VILLA REAL,"10"
"33",VTA,TERRENO,-34.633590900000002,-58.525301300000002,160.000000000000000,"150000",VERSALLES,"10"
"34",VTA,TERRENO,-34.651291700000002,-58.524680500000002,188.000000000000000,"195000",LINIERS,"9"
"35",VTA,TERRENO,-34.624260999999997,-58.524102999999997,160.000000000000000,"205000",VERSALLES,"10"
"36",VTA,TERRENO,-34.608865000000002,-58.524078000000003,329.000000000000000,"520000",VILLA DEVOTO SUR,"11"
"37",VTA,TERRENO,-34.615138999999999,-58.523296000000002,241.000000000000000,"850000",VILLA DEVOTO SUR,"11"
"38",VTA,TERRENO,-34.629593499999999,-58.523183000000003,320.000000000000000,"299000",VERSALLES,"10"
"39",VTA,TERRENO,-34.602125000000001,-58.523098900000001,945.000000000000000,"2600000",VILLA DEVOTO NORTE,"11"
"40",VTA,TERRENO,-34.629831000000003,-58.523089599999999,350.000000000000000,"350000",VERSALLES,"10"
"41",VTA,TERRENO,-34.631777000000000,-58.522672000000000,316.000000000000000,"500000",VERSALLES,"10"
"42",VTA,TERRENO,-34.639087000000004,-58.522495999999997,242.000000000000000,"780000",LINIERS,"9"
"43",VTA,TERRENO,-34.627738000000001,-58.522478000000000,440.000000000000000,"2200000",VERSALLES,"10"
"44",VTA,TERRENO,-34.655354600000003,-58.522375199999999,200.000000000000000,"620000",MATADEROS,"9"
"45",VTA,TERRENO,-34.658303199999999,-58.522293400000002,199.000000000000000,"350000",MATADEROS,"9"
"46",VTA,TERRENO,-34.625982100000002,-58.522258299999997,412.000000000000000,"390000",VERSALLES,"10"
"47",VTA,TERRENO,-34.607145899999999,-58.522220200000000,180.000000000000000,"580000",VILLA DEVOTO SUR,"11"
"48",VTA,TERRENO,-34.649819899999997,-58.521999600000001,160.000000000000000,"180000",LINIERS,"9"
"49",VTA,TERRENO,-34.650547299999999,-58.521549600000000,373.000000000000000,"378000",LINIERS,"9"
"50",VTA,TERRENO,-34.601665500000003,-58.521411499999999,213.000000000000000,"350000",VILLA DEVOTO NORTE,"11"
"51",VTA,TERRENO,-34.625910699999999,-58.520643300000003,151.000000000000000,"165000",VERSALLES,"10"
"52",VTA,TERRENO,-34.604959999999998,-58.520600000000002,245.000000000000000,"650000",VILLA DEVOTO SUR,"11"
"53",VTA,TERRENO,-34.646270299999998,-58.520166199999998,275.000000000000000,"320000",LINIERS,"9"
"54",VTA,TERRENO,-34.604080099999997,-58.520125200000003,245.000000000000000,"480000",VILLA DEVOTO SUR,"11"
"55",VTA,TERRENO,-34.605780000000003,-58.519866000000000,290.000000000000000,"690000",VILLA DEVOTO SUR,"11"
"56",VTA,TERRENO,-34.597248600000000,-58.519847100000000,433.000000000000000,"650000",VILLA DEVOTO NORTE,"11"
"57",VTA,TERRENO,-34.627572000000001,-58.519810000000000,1310.000000000000000,"1400000",VERSALLES,"10"
"58",VTA,TERRENO,-34.613879300000001,-58.519765700000001,190.000000000000000,"350000",VILLA DEVOTO SUR,"11"
"59",VTA,TERRENO,-34.649382199999998,-58.519738699999998,216.000000000000000,"250000",LINIERS,"9"
"60",VTA,TERRENO,-34.612012200000002,-58.519407899999997,0.000000000000000,"570000",VILLA DEVOTO SUR,"11"
"61",VTA,TERRENO,-34.642503200000000,-58.519279599999997,170.000000000000000,"370000",LINIERS,"9"
"62",VTA,TERRENO,-34.653543300000003,-58.519157499999999,114.000000000000000,"210000",LINIERS,"9"
"63",VTA,TERRENO,-34.613468900000001,-58.519132599999999,3000.000000000000000,"1600000",VILLA DEVOTO SUR,"11"
"64",VTA,TERRENO,-34.613852899999998,-58.519093599999998,164.000000000000000,"290000",VILLA DEVOTO SUR,"11"
"65",VTA,TERRENO,-34.621078400000002,-58.518803800000001,162.000000000000000,"225000",VILLA REAL,"10"
"66",VTA,TERRENO,-34.647500000000001,-58.517980000000001,299.000000000000000,"335000",LINIERS,"9"
"67",VTA,TERRENO,-34.589669999999998,-58.517972000000000,163.000000000000000,"880000",VILLA DEVOTO NORTE,"11"
