poly_id,operacion,tipo,latitud,longitud,m2total,preciousd,barrio,comuna,lnprecio,lnm2total,residuos,dist_subte,dist_tren,dist_obe,count_delitos,Residuos_Ej_4,Outliers_LH
"1285",VTA,TERRENO,-34.636733200000002,-58.448362199999998,1000.000000000000000,"800000",PARQUE CHACABUCO,"7",13.592367006650100,6.907755278982140,-0.259314108220635,179.780239753771014,1907.693293172219910,7146.338580063889822,"390",-0.263459053729343,"0"
"1286",VTA,TERRENO,-34.628966300000002,-58.448357299999998,1629.000000000000000,"1400000",CABALLITO,"6",14.151982794585500,7.395721608602050,-0.347350091480649,603.772636888331022,1161.615814917249963,6742.728048573610067,"599",-0.347599567306113,"0"
"1287",VTA,TERRENO,-34.588220999999997,-58.448343999999999,1390.000000000000000,"650000",CHACARITA,"15",13.384727641871800,7.237059026124740,-1.036520540549860,394.343891136306013,1691.348139046629967,6355.742975687139733,"486",-1.037508185355230,"0"
"1288",VTA,TERRENO,-34.602149199999999,-58.448247100000003,402.000000000000000,"380000",VILLA CRESPO,"15",12.847926531702599,5.996452088619020,-0.906376316215683,853.837158364297011,1942.670949316380074,6117.006567732550138,"375",-0.803157767737238,"0"
"1289",VTA,TERRENO,-34.586528600000001,-58.448233399999999,225.000000000000000,"620000",CHACARITA,"15",13.337474757021299,5.416100402204420,-0.014672244578472,578.871518134837970,1503.585538873900077,6398.845238200179665,"514",-0.021431638848421,"0"
"1290",VTA,TERRENO,-34.608579599999999,-58.448103199999998,434.000000000000000,"2000000",CABALLITO,"6",14.508657738524199,6.073044534100410,0.785880455435741,1311.901715188299931,1251.511355918649997,6127.238851590310333,"373",0.948460151889816,"0"
"1291",VTA,TERRENO,-34.636289499999997,-58.448028299999997,2860.000000000000000,"2450000",PARQUE CHACABUCO,"7",14.711598582520899,7.958576903813900,0.242970643497647,206.595158171646005,1909.368244943030049,7094.794215710659955,"432",0.238364009760933,"0"
"1292",VTA,TERRENO,-34.595277199999998,-58.448021599999997,145.000000000000000,"496000",VILLA CRESPO,"15",13.114331205707099,4.976733742420570,-0.041285832602009,396.954330840059981,2460.527655296749799,6163.112247732929973,"481",-0.005204469990772,"0"
"1293",VTA,TERRENO,-34.641064000000000,-58.447882000000000,300.000000000000000,"185000",FLORES SUR,"7",12.128111104060499,5.703782474656200,-0.659917620383186,563.215964249881040,2227.687730292259857,7368.864869407610058,"511",-0.635279111960665,"0"
"1294",VTA,TERRENO,-34.633825299999998,-58.447796500000003,216.000000000000000,"580000",PARQUE CHACABUCO,"7",13.270783382522600,5.375278407684170,0.318833217693885,364.249645458041982,1661.580753453320085,6940.228131005190335,"474",0.283090198442675,"0"
"1295",VTA,TERRENO,-34.604988400000003,-58.447789600000000,218.000000000000000,"700000",VILLA CRESPO,"15",13.458835614025499,5.384495062789090,0.063818238238748,993.515134041866986,1626.335465585400016,6075.141508995419827,"411",0.146671420007498,"0"
"1296",VTA,TERRENO,-34.631338800000002,-58.447777600000002,300.000000000000000,"520000",PARQUE CHACABUCO,"7",13.161584090557600,5.703782474656200,0.016766234343074,515.183334750000995,1394.013598936649942,6809.493987374659810,"550",-0.039618190951537,"0"
"1298",VTA,TERRENO,-34.639410599999998,-58.447734300000000,300.000000000000000,"240000",PARQUE CHACABUCO,"7",12.388394202324100,5.703782474656200,-0.756423653890408,408.350224119618986,2122.307395821850150,7255.537259499210450,"468",-0.730210391465098,"0"
