"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","agronomia","almagro","balvanera","barrac_e","barrac_o","belgrano","boedo","boca","caballito","chacarita","coghlan","colegial","constitu","fl_norte","fl_sur","floresta","liniers","mataderos","mt_castro","montserr","nva_pomp","nunez","palermo","p_avell","p_chacab","p_chas","p_patric","paternal","p_mader","recoleta","retiro","saavedra","san_cris","san_nico","san_telmo","v_sars","versalles","vcrespo","vdelparq","v_d_nor","v_d_sur","vgmitre","vlugano","vluro","vortuzar","vpuerr","vreal","vriachu","vsrita","vsoldati","vurquiza","residuos"
97,"VTA","TERRENO",-34.6038845,-58.5143076,344,590000,"VILLA DEVOTO SUR",11,13.2878778158819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.119300543912407
98,"VTA","TERRENO",-34.6088598,-58.5141155,216,320000,"VILLA DEVOTO SUR",11,12.6760762747759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.439086961340137
99,"VTA","TERRENO",-34.6494077,-58.5141114,333,280000,"LINIERS",9,12.5425448821514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18696728522774
100,"VTA","TERRENO",-34.586647,-58.5141068,382,400000,"VILLA DEVOTO NORTE",11,12.8992198260901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.477819433230292
101,"VTA","TERRENO",-34.609902,-58.514045,230,430000,"VILLA DEVOTO SUR",11,12.9715404876697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.149464908617772
102,"VTA","TERRENO",-34.6184269,-58.5138524,123,190000,"MONTE CASTRO",10,12.1547793511426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891674453847388
103,"VTA","TERRENO",-34.6446115,-58.5136229,336,490000,"LINIERS",9,13.1021606700868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371396611242368
104,"VTA","TERRENO",-34.6390317,-58.5134083,312,650000,"LINIERS",9,13.3847276418718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6639787147499
105,"VTA","TERRENO",-34.6319725,-58.5133041,368,420000,"VERSALLES",10,12.9480099902596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912131420712047
106,"VTA","TERRENO",-34.617388,-58.513202,265,270000,"MONTE CASTRO",10,12.5061772379805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59953276303442
