POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS
"1827",VTA,TERRENO,-34.630989999999997,-58.420189200000003,505.000000000000000,"700000",BOEDO,"5",748.771968449481960,1899.898600876299952,7550375.064109699800611,"383"
"1828",VTA,TERRENO,-34.630989999999997,-58.420189000000001,350.000000000000000,"325000",BOEDO,"5",748.786791492109955,1899.898394154819925,7550375.079350629821420,"383"
"1829",VTA,TERRENO,-34.614824599999999,-58.420158800000003,1847.000000000000000,"1000000",ALMAGRO,"5",371.347921540920993,1241.662890318870041,7551374.856704650446773,"650"
"1830",VTA,TERRENO,-34.621117900000002,-58.420022000000003,400.000000000000000,"1500000",ALMAGRO,"5",625.758648206418002,1720.373337125869966,7550996.941616729833186,"445"
"1831",VTA,TERRENO,-34.595500999999999,-58.420001999999997,303.000000000000000,"870000",PALERMO,"14",854.734456787836052,1780.648572577259984,7552579.342215780168772,"969"
"1832",ALQ,TERRENO,-34.595500299999998,-58.420000600000002,303.000000000000000,"999000",PALERMO,"14",854.824942484993016,1780.638532357620079,7552579.492136009968817,"969"
"1833",VTA,TERRENO,-34.594555800000002,-58.419967999999997,383.000000000000000,"1190000",PALERMO,"14",959.382441994741043,1787.979895351900041,7552640.271022260189056,"869"
"1834",VTA,TERRENO,-34.610519400000001,-58.419899000000001,652.000000000000000,"730000",ALMAGRO,"5",223.958088432116000,1032.847576336790098,7551660.331067769788206,"866"
"1835",VTA,TERRENO,-34.605072399999997,-58.419727500000000,672.000000000000000,"790000",ALMAGRO,"5",240.018283534037010,1072.243187560010028,7552009.551298630423844,"1224"
"1836",VTA,TERRENO,-34.596102000000002,-58.419644400000003,257.000000000000000,"670000",PALERMO,"14",792.784640848523964,1707.256476656880068,7552569.507549109868705,"970"
"1837",VTA,TERRENO,-34.584530299999997,-58.419596300000002,234.000000000000000,"1800000",PALERMO,"14",341.173345875060022,897.995382227033019,7553287.403214120306075,"891"
"1838",VTA,TERRENO,-34.621393599999998,-58.419472100000000,312.000000000000000,"2250000",BOEDO,"5",569.828346961750981,1715.977000592770082,7551021.837540560401976,"447"
"1839",VTA,TERRENO,-34.608376399999997,-58.419455800000001,227.990000000000009,"1150000",ALMAGRO,"5",434.272550060832998,971.640266552563958,7551826.359215940348804,"986"
"1840",VTA,TERRENO,-34.623060299999999,-58.419385800000001,204.000000000000000,"255000",BOEDO,"5",436.202767276041016,1867.134521307380055,7550925.570402690209448,"528"
"1841",VTA,TERRENO,-34.620349900000001,-58.419380199999999,264.000000000000000,"840000",ALMAGRO,"5",658.892660831562011,1616.880081098390065,7551093.243755090050399,"459"
"1842",VTA,TERRENO,-34.635658700000000,-58.419350600000001,550.000000000000000,"400000",BOEDO,"5",891.745630057337053,1382.973268383160075,7550150.913536770269275,"393"
"1843",VTA,TERRENO,-34.640038599999997,-58.419263100000002,378.000000000000000,"390000",NUEVA POMPEYA,"4",645.209235388648949,898.227163197518962,7549887.354589110240340,"424"
"1844",VTA,TERRENO,-34.622611300000003,-58.419192700000004,550.000000000000000,"250000",BOEDO,"5",453.911860374851983,1815.370453540879907,7550967.991948899812996,"505"
"1845",VTA,TERRENO,-34.596433900000001,-58.419078800000001,202.000000000000000,"425000",PALERMO,"14",766.423584598688990,1647.329980228119894,7552592.136236069723964,"1010"
"1846",VTA,TERRENO,-34.612821699999998,-58.419076599999997,381.000000000000000,"820000",ALMAGRO,"5",276.977221335010995,1044.500470131939892,7551580.934608859941363,"820"
"1847",VTA,TERRENO,-34.589295600000000,-58.418948399999998,72.000000000000000,"575000",PALERMO,"14",535.057164868597056,1321.242965155890033,7553042.659803619608283,"820"
"1848",VTA,TERRENO,-34.590710500000000,-58.418837799999999,176.000000000000000,"1300000",PALERMO,"14",670.530200132640971,1456.597876717770077,7552963.759376360103488,"778"
"1849",VTA,TERRENO,-34.591061500000002,-58.418822200000001,151.000000000000000,"599000",PALERMO,"14",705.944078178211953,1490.267696124589975,7552943.284042540006340,"738"
"1850",VTA,TERRENO,-34.637907499999997,-58.418812299999999,274.000000000000000,"295000",BOEDO,"5",697.358092973795010,1137.232808843469911,7550053.186691270209849,"402"
"1851",VTA,TERRENO,-34.591112299999999,-58.418677899999999,151.000000000000000,"580000",PALERMO,"14",706.388052080754051,1502.076265757410056,7552951.148348500020802,"734"
"1852",VTA,TERRENO,-34.617556999999998,-58.418652000000002,820.000000000000000,"2100000",ALMAGRO,"5",704.474758960765030,1334.808266699920068,7551321.083061509765685,"503"
"1853",VTA,TERRENO,-34.639541199999996,-58.418458299999998,210.000000000000000,"420000",BOEDO,"5",588.884848648535012,961.013465923150989,7549979.367048569954932,"405"
"1854",VTA,TERRENO,-34.585599199999997,-58.418426500000002,1416.000000000000000,"4000000",PALERMO,"14",231.983562284440012,1055.487516759219943,7553310.601816450245678,"951"
"1855",VTA,TERRENO,-34.598737000000000,-58.418360000000000,207.000000000000000,"689000",ALMAGRO,"5",546.138591465173022,1402.618724550719890,7552504.782086909748614,"1194"
"1856",VTA,TERRENO,-34.628222000000001,-58.418258000000002,300.000000000000000,"430000",BOEDO,"5",403.512449855329010,2212.324119241609878,7550693.020949309691787,"490"
"1857",VTA,TERRENO,-34.591152299999997,-58.418225399999997,0.000000000000000,"480000",PALERMO,"14",697.031843816311039,1528.335408631859991,7552983.172855080105364,"752"
"1858",VTA,TERRENO,-34.628521999999997,-58.418194000000000,300.000000000000000,"430000",BOEDO,"5",426.753005217500004,2179.554655650670156,7550679.387308959849179,"491"
"1859",VTA,TERRENO,-34.607193500000001,-58.417950900000001,1370.000000000000000,"3750000",ALMAGRO,"5",471.984341647680992,848.657067730957010,7552014.060938569717109,"1188"
"1860",VTA,TERRENO,-34.625815199999998,-58.417924999999997,294.000000000000000,"1100000",BOEDO,"5",224.953900228871987,2077.535890518399810,7550866.905556200072169,"538"
"1861",VTA,TERRENO,-34.606974100000002,-58.417839800000003,1370.000000000000000,"3750000",ALMAGRO,"5",487.516961334130997,843.682309501792020,7552036.068910759873688,"1198"
"1862",VTA,TERRENO,-34.585692799999997,-58.417725900000001,188.000000000000000,"1500000",PALERMO,"14",173.008376423902007,1112.653365383840082,7553358.232272099703550,"926"
"1863",VTA,TERRENO,-34.639183500000001,-58.417597100000002,287.000000000000000,"595000",BOEDO,"5",530.917752760492021,1014.158777487019961,7550067.058408699929714,"397"
"1864",VTA,TERRENO,-34.637958500000003,-58.417396500000002,150.000000000000000,"260000",BOEDO,"5",588.202041880345973,1150.902457405939913,7550157.923591859638691,"410"
"1865",VTA,TERRENO,-34.582549100000001,-58.417349999999999,230.000000000000000,"1900000",PALERMO,"14",316.226368912317980,977.491152602079978,7553580.938040199689567,"791"
"1866",VTA,TERRENO,-34.623492599999999,-58.417187800000001,225.000000000000000,"630000",BOEDO,"5",257.349301559056016,1814.809159924019923,7551066.401966420002282,"556"
"1867",VTA,TERRENO,-34.606335999999999,-58.417175000000000,376.000000000000000,"395000",ALMAGRO,"5",494.408947713544990,804.043245488339039,7552126.119200499728322,"1317"
"1868",VTA,TERRENO,-34.623495900000002,-58.417031399999999,225.000000000000000,"720000",BOEDO,"5",248.855218513870000,1809.158051252109999,7551078.117298039607704,"553"
