InputID,TargetID,Distance
"305",Obelisco,11518.2414933801
"306",Obelisco,10931.0529959402
"307",Obelisco,11123.4007963987
"308",Obelisco,10694.3575702725
"309",Obelisco,10919.4031274067
"310",Obelisco,10961.4401583537
"311",Obelisco,11212.4386754614
"312",Obelisco,10907.7361213422
"313",Obelisco,10533.4104097543
"314",Obelisco,11925.9152372343
"315",Obelisco,11207.0481839284
"316",Obelisco,11353.2489373756
"317",Obelisco,10719.825142743
"318",Obelisco,11207.2549959229
"319",Obelisco,10775.43733436
"320",Obelisco,11025.9429993606
"321",Obelisco,10499.0672256822
"322",Obelisco,10763.2265107318
"323",Obelisco,11279.9931880653
"324",Obelisco,10464.9938080569
"325",Obelisco,11834.7300652594
"326",Obelisco,10886.5384538632
"327",Obelisco,11808.4938480243
"328",Obelisco,11201.1391288935
"329",Obelisco,10705.6103755145
"330",Obelisco,10645.7203459367
"331",Obelisco,11257.2506691591
"332",Obelisco,11198.6184949339
"333",Obelisco,10751.022328554
"334",Obelisco,10856.1529360808
"335",Obelisco,11186.0485935656
"336",Obelisco,10409.266172546
"337",Obelisco,11975.2351520107
"338",Obelisco,10987.5567756958
"339",Obelisco,10833.4718934028
"340",Obelisco,10684.3553260217
"341",Obelisco,11164.7621237983
"342",Obelisco,11893.5398131179
"343",Obelisco,10618.8748749265
"344",Obelisco,11605.4429234142
"345",Obelisco,11045.816439725
"346",Obelisco,10976.3183292831
"347",Obelisco,11215.1537315868
"348",Obelisco,10917.6850824362
"349",Obelisco,11713.2553610196
"350",Obelisco,11279.3017596265
"351",Obelisco,10897.0746125233
"352",Obelisco,10594.2344268301
"353",Obelisco,10578.9139373395
"354",Obelisco,10919.602033632
"355",Obelisco,10603.1972155594
"356",Obelisco,11764.0195068953
"357",Obelisco,10448.5786221762
"358",Obelisco,10371.702846175
"359",Obelisco,11243.3287592574
"360",Obelisco,10313.7447158267
"361",Obelisco,11255.2546082625
"362",Obelisco,10326.5513799668
"363",Obelisco,10284.5686682364
"364",Obelisco,10952.2473289835
"365",Obelisco,10454.1063652341
"366",Obelisco,11423.6622831415
"367",Obelisco,10279.9496478191
"368",Obelisco,10722.0748521864
"369",Obelisco,11088.6457202668
"370",Obelisco,10365.3354230925
"371",Obelisco,10896.6523880507
"372",Obelisco,10461.2777314616
"373",Obelisco,12199.024077376
"374",Obelisco,11291.1559454609
"375",Obelisco,11577.2237438862
"376",Obelisco,10500.4136645071
"377",Obelisco,10207.4283140206
"378",Obelisco,12184.4705179372
"379",Obelisco,10210.3954129001
"380",Obelisco,10201.673764795
"381",Obelisco,11797.2943117015
"382",Obelisco,10185.0120213822
"383",Obelisco,11899.3440460591
"384",Obelisco,10665.0762400991
"385",Obelisco,10470.8326813296
"386",Obelisco,10471.5322620228
"387",Obelisco,10165.600491883
"388",Obelisco,10417.9894959393
