POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS,Distancia_obelisco(correcta)
"468",VTA,TERRENO,-34.557443599999999,-58.488171500000000,331.000000000000000,"550000",SAAVEDRA,"12",1879.185387649599988,387.444269869835978,7549729.902953090146184,"263",11035.823567329200159
"469",VTA,TERRENO,-34.640539500000003,-58.488157200000003,280.000000000000000,"260000",VELEZ SARSFIELD,"10",2018.062615387339974,1124.306592157440036,7544606.021252769976854,"294",10600.711228529600703
"470",VTA,TERRENO,-34.585715200000003,-58.488140399999999,225.000000000000000,"560000",AGRONOMIA,"15",1095.021339870269912,1220.929940404970012,7547988.199307899922132,"177",9973.222198657080298
"471",VTA,TERRENO,-34.601676200000000,-58.488131400000000,600.000000000000000,"380000",VILLA DEL PARQUE,"11",2599.798397300060060,496.507120237575009,7547004.439211210235953,"264",9775.745634468019489
"472",VTA,TERRENO,-34.623450800000001,-58.488083199999998,520.000000000000000,"685000",FLORESTA,"10",1873.074808213520100,1189.593157371469943,7545665.313798990100622,"304",10014.594108453300578
"473",VTA,TERRENO,-34.610627000000001,-58.488028000000000,275.000000000000000,"550000",VILLA SANTA RITA,"11",2793.884192102319957,1144.286318878899920,7546460.312328089959919,"323",9795.199754679029866
"474",VTA,TERRENO,-34.577781700000003,-58.487953200000000,160.000000000000000,"1250000",VILLA URQUIZA,"12",410.191192917162027,340.691412264824010,7548491.850058260373771,"471",10168.234135694299766
"475",VTA,TERRENO,-34.628481999999998,-58.487900000000003,1201.000000000000000,"1200000",FLORESTA,"10",1692.528667158160033,774.329630742175027,7545369.049922199919820,"385",10135.876630119200854
"476",VTA,TERRENO,-34.610039000000000,-58.487856999999998,1645.000000000000000,"2200000",VILLA DEL PARQUE,"11",2836.903374481530136,1093.507840619339959,7546509.611076559871435,"309",9774.569557984750645
"477",VTA,TERRENO,-34.558050000000001,-58.487793000000003,141.000000000000000,"230000",SAAVEDRA,"12",1809.370787421680006,446.179067347839975,7549721.358755719847977,"255",10973.935462646100859
"478",VTA,TERRENO,-34.556565999999997,-58.487763999999999,140.000000000000000,"474000",SAAVEDRA,"12",1973.437190738769914,283.881476859330007,7549815.130277220159769,"277",11048.327237163499376
"479",VTA,TERRENO,-34.571660399999999,-58.487640100000000,202.000000000000000,"920000",VILLA URQUIZA,"12",316.594265332419980,339.014584873894989,7548893.341918650083244,"537",10352.841697932299212
"480",VTA,TERRENO,-34.641317299999997,-58.487555999999998,287.000000000000000,"600000",PARQUE AVELLANEDA,"9",2020.908934402900059,1165.069340946510010,7544603.891767820343375,"275",10583.730747886500467
"481",VTA,TERRENO,-34.599944399999998,-58.487497400000002,1156.000000000000000,"645000",VILLA DEL PARQUE,"11",2404.235615146440068,575.651139479174958,7547159.587388630025089,"263",9723.679733262519221
"482",VTA,TERRENO,-34.609591999999999,-58.487493999999998,91.000000000000000,"340000",VILLA DEL PARQUE,"11",2857.928429866859915,1067.058214960710075,7546564.852848120033741,"321",9737.844537831559137
"483",VTA,TERRENO,-34.651012399999999,-58.487480200000000,1000.000000000000000,"1500000",MATADEROS,"9",2517.275156436990073,2118.108213957490079,7544011.960320530459285,"202",11047.242591904900110
"484",VTA,TERRENO,-34.630155000000002,-58.487414000000001,278.000000000000000,"495000",VELEZ SARSFIELD,"10",1631.001519282910067,646.843326543665967,7545302.940630230121315,"397",10145.369045928400737
"485",VTA,TERRENO,-34.567096700000000,-58.487394199999997,110.000000000000000,"370000",VILLA URQUIZA,"12",806.510620506096984,784.899143377333985,7549193.637417480349541,"326",10515.921054268299486
"486",VTA,TERRENO,-34.568222499999997,-58.487363000000002,187.000000000000000,"410000",VILLA URQUIZA,"12",682.216146642046965,721.222439944805046,7549126.563417010009289,"334",10465.834183422399292
"487",VTA,TERRENO,-34.600545599999997,-58.487155799999996,184.000000000000000,"700000",VILLA DEL PARQUE,"11",2446.667147005180141,591.942926990177966,7547148.553968270309269,"268",9689.824624605969802
"488",VTA,TERRENO,-34.567611900000003,-58.487029399999997,235.000000000000000,"520000",VILLA URQUIZA,"12",746.370946160356993,743.019303150173982,7549189.675250009633601,"333",10463.102693492999606
"489",VTA,TERRENO,-34.624300900000001,-58.487010800000000,189.000000000000000,"350000",FLORESTA,"10",1744.271531850549991,1057.001594023630105,7545694.645573239773512,"335",9940.067674492940569
"490",VTA,TERRENO,-34.606791999999999,-58.486856000000003,458.000000000000000,"690000",VILLA DEL PARQUE,"11",3060.796655592620027,858.324911094818049,7546786.173903670161963,"329",9663.037832553060070
